X,X35p.u_35r.u_b,X35p.u_30r.u_b,X35p.u_25r.u_b,X35p.u_20r.u_b,X35p.u_15r.u_b,X35p.u_10r.u_b,X35p.u_05r.u_b,X30p.u_35r.u_b,X30p.u_30r.u_b,X30p.u_25r.u_b,X30p.u_20r.u_b,X30p.u_15r.u_b,X30p.u_10r.u_b,X30p.u_05r.u_b,X25p.u_35r.u_b,X25p.u_30r.u_b,X25p.u_25r.u_b,X25p.u_20r.u_b,X25p.u_15r.u_b,X25p.u_10r.u_b,X25p.u_05r.u_b,X20p.u_35r.u_b,X20p.u_30r.u_b,X20p.u_25r.u_b,X20p.u_20r.u_b,X20p.u_15r.u_b,X20p.u_10r.u_b,X20p.u_05r.u_b,X15p.u_35r.u_b,X15p.u_30r.u_b,X15p.u_25r.u_b,X15p.u_20r.u_b,X15p.u_15r.u_b,X15p.u_10r.u_b,X15p.u_05r.u_b,X10p.u_35r.u_b,X10p.u_30r.u_b,X10p.u_25r.u_b,X10p.u_20r.u_b,X10p.u_15r.u_b,X10p.u_10r.u_b,X10p.u_05r.u_b,X05p.u_35r.u_b,X05p.u_30r.u_b,X05p.u_25r.u_b,X05p.u_20r.u_b,X05p.u_15r.u_b,X05p.u_10r.u_b,X05p.u_05r.u_b,X35p.u_35r.d_b,X35p.u_30r.d_b,X35p.u_25r.d_b,X35p.u_20r.d_b,X35p.u_15r.d_b,X35p.u_10r.d_b,X35p.u_05r.d_b,X30p.u_35r.d_b,X30p.u_30r.d_b,X30p.u_25r.d_b,X30p.u_20r.d_b,X30p.u_15r.d_b,X30p.u_10r.d_b,X30p.u_05r.d_b,X25p.u_35r.d_b,X25p.u_30r.d_b,X25p.u_25r.d_b,X25p.u_20r.d_b,X25p.u_15r.d_b,X25p.u_10r.d_b,X25p.u_05r.d_b,X20p.u_35r.d_b,X20p.u_30r.d_b,X20p.u_25r.d_b,X20p.u_20r.d_b,X20p.u_15r.d_b,X20p.u_10r.d_b,X20p.u_05r.d_b,X15p.u_35r.d_b,X15p.u_30r.d_b,X15p.u_25r.d_b,X15p.u_20r.d_b,X15p.u_15r.d_b,X15p.u_10r.d_b,X15p.u_05r.d_b,X10p.u_35r.d_b,X10p.u_30r.d_b,X10p.u_25r.d_b,X10p.u_20r.d_b,X10p.u_15r.d_b,X10p.u_10r.d_b,X10p.u_05r.d_b,X05p.u_35r.d_b,X05p.u_30r.d_b,X05p.u_25r.d_b,X05p.u_20r.d_b,X05p.u_15r.d_b,X05p.u_10r.d_b,X05p.u_05r.d_b,p.nc_35r.d_b,p.nc_30r.d_b,p.nc_25r.d_b,p.nc_20r.d_b,p.nc_15r.d_b,p.nc_10r.d_b,p.nc_05r.d_b,p.nc_35r.u_b,p.nc_30r.u_b,p.nc_25r.u_b,p.nc_20r.u_b,p.nc_15r.u_b,p.nc_10r.u_b,p.nc_05r.u_b,X35p.u_r.nc_b,X30p.u_r.nc_b,X25p.u_r.nc_b,X20p.u_r.nc_b,X15p.u_r.nc_b,X10p.u_r.nc_b,X05p.u_r.nc_b,reg_dem,who_vote,who_vote_other,fav_biden,fav_bernie,fav_warren,fav_bloomberg,fav_gabbard,fav_klobuchar,fav_buttigieg,Q53,stim_divide_ppl,stim_divide_corp,school_close,UBI,consid_econ,medicare,stud_debt,trump_overall,trump_covid,emp1,emp2,poor_anger,poor_disgust,poor_comp,poor_envy,rich_anger,rich_disgust,rich_comp,rich_envy,open_why_vote,Q256,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,attn,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,gender,age,ethnicity,income,ideology,soc_iss,econ_iss,partyid,partyid_force,strong_dem,strong_rep,Q63,Q65,ses_ladder,party,repub,pte,cte,ptae,ctae,sdo,ptez,ctez,ptaez,ctaez,sdoz,pid,poor_angerz,poor_disgustz,poor_compz,poor_envyz,rich_angerz,rich_disgustz,rich_compz,rich_envyz,trump_overallz,trump_covidz,t1_weight,t1_weightz,t2_weight,t2_weightz,t3_weight,t3_weightz,t4_weight,t4_weightz,money_burning,money_burningz,free_rich,free_richz,bern_min_bid,bern_min_bidz
137,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,5,NA,6,5,5,6,4,4,5,1,50,50,0,1,1,1,0,6,5,4,5,4,3,4,5,4,3,4,5,yes,1,6,5,4,6,3,1,2,3,2,5,4,5,6,1,3,2,3,1,28,1,2,6,6,7,3,NA,NA,6,1,1,2,Rep,1,5.25,5.75,5,5.75,3.6875,1.118867115,0.209158752,0.815963696,0.124437454,0.61134059,130,1.882963534,1.182200378,0.237816864,2.71454767,1.150741403,0.390998736,1.519739,1.852890892,0.809065446,0.34872896,0.714285714,0.51320526,0.857142857,0.176461071,0.857142857,0.372953791,0.857142857,0.70820803,0.714285714,1.076043753,0.714285714,1.277799227,-1,-0.625739166
138,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,6,5,5,5,4,4,5,1,50,50,1,1,1,1,1,6,6,4,4,1,2,4,1,1,1,4,3,Benefit range ,1,6,4,5,6,3,3,2,3,2,3,3,3,2,3,2,2,3,1,45,1,5,6,6,6,1,NA,48,NA,1,1,5,Dem,0,5.25,5.25,2.75,5.5,3.3125,1.118867115,-0.193036982,-0.399859262,-0.07152053,0.324481551,131,-0.617105696,0.284182783,0.237816864,-0.547747684,-0.994990595,-0.99954564,1.519739,0.314518858,0.809065446,0.77870629,0,-1.199888354,0.952380952,0.488560129,0.904761905,0.508729596,0,-1.369656795,0,-0.767713587,0,-0.663472675,-1,-0.625739166
139,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,8,16,1,4,1,1,1,1,1,1,60,40,1,1,1,0,0,5,3,3,2,3,3,1,1,3,3,1,1,I was thinking about the details of the policy,1,5,6,6,5,5,6,2,5,3,3,3,5,6,3,3,2,7,1,24,1,7,6,6,6,3,NA,NA,4,1,1,6,Rep,1,5.5,3.25,4.25,4.25,4.5625,1.251718571,-1.80181992,0.410689377,-1.051310449,1.280678349,132,1.049607124,1.182200378,-2.34367612,-0.547747684,0.435497403,0.390998736,-0.826843852,-1.223853175,0.377563875,-0.511225701,0.80952381,0.741617742,0.952380952,0.488560129,0.238095238,-1.392131663,0,-1.369656795,0,-0.767713587,0,-0.663472675,3,1.015947298
140,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,2,NA,4,5,3,4,3,3,3,1,50,50,1,1,0,1,0,4,5,4,3,2,3,2,4,3,2,4,3,my instincts,1,4,5,3,5,5,4,2,3,4,5,4,5,3,3,4,3,5,1,32,1,4,6,6,6,1,NA,47,NA,1,1,5,Dem,0,4.25,4,4.25,4.25,4.0625,0.587461291,-1.198526318,0.410689377,-1.051310449,0.89819963,133,0.216250714,1.182200378,-1.483178459,1.898973832,0.435497403,-0.304273452,1.519739,0.314518858,-0.053937696,0.34872896,0.666666667,0.398999019,0.428571429,-1.22798469,0.428571429,-0.849028447,0.476190476,-0.215287448,0.428571429,0.338540817,0.285714286,0.113036085,1,0.195104066
141,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,4,2,4,3,2,2,6,1,40,60,1,1,1,1,0,5,5,4,4,4,2,3,1,3,2,2,5,no,1,4,2,3,2,3,5,2,4,4,6,3,6,3,4,2,5,1,2,27,1,2,2,2,4,3,NA,NA,6,1,1,3,Rep,1,2.75,4,4.5,5,3.5625,-0.209647445,-1.198526318,0.545780817,-0.463436497,0.51572091,134,1.882963534,0.284182783,-0.622680797,-0.547747684,0.435497403,-0.304273452,-0.044649568,1.852890892,0.377563875,0.34872896,0.857142857,0.855823983,0.619047619,-0.603786574,0.380952381,-0.984804251,0.238095238,-0.792472121,0.142857143,-0.398962119,0.285714286,0.113036085,-2,-1.036160783
142,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,4,7,3,3,3,3,3,1,50,50,1,1,0,1,1,6,6,4,4,2,1,2,2,1,1,1,1,"THE FACTORS OF BEEN POOR, THE POOR NEEDS HELP.",1,5,5,4,3,4,4,2,4,3,4,3,5,4,3,5,4,3,1,25,1,9,2,2,3,1,NA,46,NA,1,1,4,Dem,0,4.25,4.25,4,4.25,3.9375,0.587461291,-0.997428451,0.275597937,-1.051310449,0.80257995,135,0.216250714,-0.613834812,-1.483178459,0.267826155,-0.994990595,-0.99954564,-0.826843852,-1.223853175,0.809065446,0.77870629,0.142857143,-0.857269631,1,0.644609658,1,0.780281204,1,1.054518834,0,-0.767713587,0,-0.663472675,3,1.015947298
143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,2,NA,1,5,1,1,6,3,2,1,45,55,1,0,0,0,0,7,7,5,5,1,1,5,1,1,1,1,1,"I voted on most policies that increased poor wealth no matter the % except when decreasing rich wealth by 35% and only increasing poor wealth by 5%.  That's not a good trade off.  Also, I'm fine with the rich getting richer as long as we lift people out of poverty.  i have no desire to punish the rich.",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,50,1,4,3,2,5,2,2,NA,2,1,1,8,Rep,1,1,7,1,6.75,1.0625,-1.139607638,1.214648088,-1.34549934,0.908269389,-1.396672686,136,-0.617105696,-0.613834812,1.098314526,-0.547747684,-0.994990595,-0.99954564,-0.826843852,-1.223853175,1.240567017,1.208683621,0.952380952,1.084236465,1,0.644609658,1,0.780281204,0.80952381,0.592771095,0,-0.767713587,0,-0.663472675,4,1.426368915
144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,3,5,3,3,5,3,3,1,70,30,1,1,0,1,0,6,6,4,4,1,1,4,1,2,2,2,2,How much it helps the poor and then how much it helps the nation overall. ,1,1,2,2,1,6,5,2,1,2,2,1,2,3,1,2,1,1,1,29,2,3,4,4,5,2,2,NA,3,1,1,6,Rep,1,1.5,4.5,2,6.75,2.0625,-0.873904726,-0.796330584,-0.805133581,0.908269389,-0.631715248,137,-0.617105696,-0.613834812,0.237816864,-0.547747684,-0.279746596,-0.304273452,-0.044649568,-0.454667158,0.809065446,0.77870629,1,1.198442705,1,0.644609658,1,0.780281204,1,1.054518834,0,-0.767713587,0,-0.663472675,2,0.605525682
145,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,2,6,6,1,1,4,4,1,70,30,1,1,1,1,1,1,1,5,5,1,1,5,1,4,4,1,1,If it would actually benefit the poor and raise their station.,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,37,1,1,1,1,2,2,1,46,NA,1,1,8,Dem,0,1,7,1,7,1,-1.139607638,1.214648088,-1.34549934,1.104227373,-1.444482526,138,-0.617105696,-0.613834812,1.098314526,-0.547747684,1.150741403,1.086270923,-0.826843852,-1.223853175,-1.348442409,-1.371180361,0.095238095,-0.971475872,0.904761905,0.3325106,1,0.780281204,1,1.054518834,0,-0.767713587,0,-0.663472675,4,1.426368915
146,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,NA,4,4,4,2,3,4,2,1,80,20,1,0,0,1,0,3,1,4,4,1,1,5,1,1,1,1,1,"I was mostly thinking about how to make society more equal, but not going overboard to an extreme and taking away 30+ % of rich people's wealth because I don't society would benefit from such punitive actions. ",1,1,1,1,1,1,1,2,1,1,1,1,1,6,1,1,2,1,1,31,1,6,4,2,5,2,1,43,NA,1,1,5,Dem,0,1,7,2.25,6.75,1.375,-1.139607638,1.214648088,-0.670042141,0.908269389,-1.157623487,139,-0.617105696,-0.613834812,1.098314526,-0.547747684,-0.994990595,-0.99954564,-0.826843852,-1.223853175,-0.485439267,-1.371180361,0.047619048,-1.085682113,1,0.644609658,0.952380952,0.6445054,0.428571429,-0.330724383,0,-0.767713587,0,-0.663472675,0,-0.21531755
147,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,3,4,4,4,4,4,4,1,75,25,1,0,0,1,1,5,5,4,4,1,1,3,1,1,1,1,1,I was saying yes to something that would make things more equal.,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,39,1,15,5,5,5,1,NA,45,NA,1,1,5,Dem,0,4,4,4,4,4,0.454609835,-1.198526318,0.275597937,-1.247268433,0.85038979,140,-0.617105696,-0.613834812,-0.622680797,-0.547747684,-0.994990595,-0.99954564,-0.826843852,-1.223853175,0.377563875,0.34872896,0.238095238,-0.628857149,0.904761905,0.3325106,1,0.780281204,1,1.054518834,0.714285714,1.076043753,0,-0.663472675,1,0.195104066
148,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,1,6,2,1,2,2,2,1,35,65,1,1,1,1,1,2,3,4,4,1,1,3,1,2,2,1,1,whether the gap would be beneficial to the poorer 20% ,1,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,1,50,1,8,4,4,4,1,NA,46,NA,1,1,6,Dem,0,2,6,3,6,2.25,-0.608201814,0.410256619,-0.264767822,0.320395438,-0.488285728,141,-0.617105696,-0.613834812,-0.622680797,-0.547747684,-0.279746596,-0.304273452,-0.826843852,-1.223853175,-0.916940838,-0.511225701,0.047619048,-1.085682113,0.333333333,-1.540083748,1,0.780281204,0.952380952,0.939081899,0.142857143,-0.398962119,0,-0.663472675,5,1.836790531
149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,NA,2,4,4,5,2,7,2,1,75,25,1,0,0,0,0,5,3,1,2,1,1,2,1,1,1,1,4,I looked at each individually. Someone needed to gain for me to vote yes.,1,5,6,6,5,5,6,2,3,6,6,4,6,6,2,6,2,6,2,22,1,4,5,3,6,3,NA,NA,6,1,1,7,Rep,1,5.5,3,5.5,4,5,1.251718571,-2.002917787,1.086146576,-1.247268433,1.615347229,142,-0.617105696,-0.613834812,-1.483178459,-0.547747684,-0.994990595,-0.99954564,-0.826843852,1.083704875,0.377563875,-0.511225701,1,1.198442705,1,0.644609658,0.80952381,0.237177987,0.095238095,-1.138782925,0,-0.767713587,1,2.054307987,2,0.605525682
150,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,8,13,4,3,4,NA,3,4,3,1,70,30,1,1,1,1,1,2,2,3,3,2,2,1,1,4,4,1,1,I weight the effect between poor and the rich,1,6,6,6,5,2,4,2,4,4,4,4,4,4,3,4,4,4,2,44,4,8,5,5,6,2,2,NA,2,1,1,6,Rep,1,5.75,4.5,4,4.25,4.25,1.384570027,-0.796330584,0.275597937,-1.051310449,1.04162915,143,0.216250714,0.284182783,-2.34367612,-0.547747684,1.150741403,1.086270923,-0.826843852,-1.223853175,-0.916940838,-0.941203031,0.619047619,0.284792778,0.428571429,-1.22798469,0.476190476,-0.713252642,0.619047619,0.131023356,0.857142857,1.444795221,0.857142857,1.666053607,-1,-0.625739166
151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,1,6,2,2,4,5,5,1,99,1,1,1,1,1,1,2,1,4,2,3,1,2,1,5,5,1,1,"I was thinking from the perspective of a desperately poor family, for whom a 5% pay rise would be a godsend. ",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,NA,45,NA,1,1,8,Dem,0,1,7,1,7,1,-1.139607638,1.214648088,-1.34549934,1.104227373,-1.444482526,144,1.049607124,-0.613834812,-1.483178459,-0.547747684,1.865985402,1.781543111,-0.826843852,-1.223853175,-0.916940838,-1.371180361,1,1.198442705,1,0.644609658,0.952380952,0.6445054,1,1.054518834,0,-0.767713587,0,-0.663472675,5,1.836790531
152,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,6,7,3,3,3,3,2,1,30,70,1,1,1,0,1,3,2,5,5,1,1,4,1,2,1,1,2,Whether it would be good for people and the economy. There should be a balance.,1,5,5,5,1,2,1,2,7,1,1,1,1,3,1,1,1,1,2,20,4,5,1,1,2,1,NA,49,NA,1,1,6,Dem,0,4,5.25,1.5,7,2.3125,0.454609835,-0.193036982,-1.07531646,1.104227373,-0.440475888,145,-0.617105696,-0.613834812,0.237816864,-0.547747684,-0.279746596,-0.99954564,-0.826843852,-0.454667158,-0.485439267,-0.941203031,0,-1.199888354,0.19047619,-2.008232335,1,0.780281204,1,1.054518834,1,1.813546689,0,-0.663472675,1,0.195104066
153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,NA,7,6,5,3,3,3,3,1,50,50,1,1,0,1,1,5,5,4,4,2,2,5,2,3,3,3,4,General benefits / The more feasible policy / How the policy could affect all Americans positively,1,6,6,6,6,2,6,2,3,5,5,5,5,5,2,5,2,5,2,29,1,10,5,5,5,3,NA,NA,4,1,1,6,Rep,1,6,4,5,4.5,4.625,1.517421483,-1.198526318,0.815963696,-0.855352465,1.328488189,146,0.216250714,0.284182783,1.098314526,0.267826155,0.435497403,0.390998736,0.737544716,1.083704875,0.377563875,0.34872896,0.619047619,0.284792778,1,0.644609658,0.952380952,0.6445054,0.952380952,0.939081899,0.714285714,1.076043753,0,-0.663472675,-1,-0.625739166
154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,3,6,4,1,1,3,3,1,70,30,1,0,1,1,1,1,1,4,4,1,1,4,1,3,3,1,3,"I think of the relative good it would do for them. For example, a 20% increase in wealth for the poor and 20% decrease for the rich would have much different effects. For the poor people, this could mean they would now have ""liveable"" wages, while a billionaire/multi-millionaire would still be able to live comfortably with a decrease.",1,2,1,2,1,4,2,2,2,2,2,3,2,2,2,3,2,3,1,25,4,13,2,1,2,1,NA,48,NA,1,1,5,Dem,0,1.5,5.5,2.25,5.5,2.1875,-0.873904726,0.008060885,-0.670042141,-0.07152053,-0.536095568,147,-0.617105696,-0.613834812,0.237816864,-0.547747684,0.435497403,0.390998736,-0.826843852,0.314518858,-1.348442409,-1.371180361,1,1.198442705,1,0.644609658,1,0.780281204,0,-1.369656795,0,-0.767713587,1,2.054307987,3,1.015947298
155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,NA,4,7,4,4,4,4,4,1,75,25,1,1,1,1,1,1,4,5,5,1,1,5,1,5,5,1,5,"i was considering the poor category. as long as it would benefit the people on the bottom more than the rich, then i was for it",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,28,2,2,4,4,4,2,1,47,NA,1,1,6,Dem,0,1,7,1,7,1,-1.139607638,1.214648088,-1.34549934,1.104227373,-1.444482526,148,-0.617105696,-0.613834812,1.098314526,-0.547747684,1.865985402,1.781543111,-0.826843852,1.852890892,-1.348442409,-0.08124837,1,1.198442705,1,0.644609658,1,0.780281204,1,1.054518834,1,1.813546689,0,-0.663472675,3,1.015947298
