V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q42,Q3,Q103,35p.u_35r.u_b,35p.u_30r.u_b,35p.u_25r.u_b,35p.u_20r.u_b,35p.u_15r.u_b,35p.u_10r.u_b,35p.u_05r.u_b,30p.u_35r.u_b,30p.u_30r.u_b,30p.u_25r.u_b,30p.u_20r.u_b,30p.u_15r.u_b,30p.u_10r.u_b,30p.u_05r.u_b,25p.u_35r.u_b,25p.u_30r.u_b,25p.u_25r.u_b,25p.u_20r.u_b,25p.u_15r.u_b,25p.u_10r.u_b,25p.u_05r.u_b,20p.u_35r.u_b,20p.u_30r.u_b,20p.u_25r.u_b,20p.u_20r.u_b,20p.u_15r.u_b,20p.u_10r.u_b,20p.u_05r.u_b,15p.u_35r.u_b,15p.u_30r.u_b,15p.u_25r.u_b,15p.u_20r.u_b,15p.u_15r.u_b,15p.u_10r.u_b,15p.u_05r.u_b,10p.u_35r.u_b,10p.u_30r.u_b,10p.u_25r.u_b,10p.u_20r.u_b,10p.u_15r.u_b,10p.u_10r.u_b,10p.u_05r.u_b,05p.u_35r.u_b,05p.u_30r.u_b,05p.u_25r.u_b,05p.u_20r.u_b,05p.u_15r.u_b,05p.u_10r.u_b,05p.u_05r.u_b,35p.u_35r.d_b,35p.u_30r.d_b,35p.u_25r.d_b,35p.u_20r.d_b,35p.u_15r.d_b,35p.u_10r.d_b,35p.u_05r.d_b,30p.u_35r.d_b,30p.u_30r.d_b,30p.u_25r.d_b,30p.u_20r.d_b,30p.u_15r.d_b,30p.u_10r.d_b,30p.u_05r.d_b,25p.u_35r.d_b,25p.u_30r.d_b,25p.u_25r.d_b,25p.u_20r.d_b,25p.u_15r.d_b,25p.u_10r.d_b,25p.u_05r.d_b,20p.u_35r.d_b,20p.u_30r.d_b,20p.u_25r.d_b,20p.u_20r.d_b,20p.u_15r.d_b,20p.u_10r.d_b,20p.u_05r.d_b,15p.u_35r.d_b,15p.u_30r.d_b,15p.u_25r.d_b,15p.u_20r.d_b,15p.u_15r.d_b,15p.u_10r.d_b,15p.u_05r.d_b,10p.u_35r.d_b,10p.u_30r.d_b,10p.u_25r.d_b,10p.u_20r.d_b,10p.u_15r.d_b,10p.u_10r.d_b,10p.u_05r.d_b,05p.u_35r.d_b,05p.u_30r.d_b,05p.u_25r.d_b,05p.u_20r.d_b,05p.u_15r.d_b,05p.u_10r.d_b,05p.u_05r.d_b,p.nc_35r.d_b,p.nc_30r.d_b,p.nc_25r.d_b,p.nc_20r.d_b,p.nc_15r.d_b,p.nc_10r.d_b,p.nc_05r.d_b,p.nc_35r.u_b,p.nc_30r.u_b,p.nc_25r.u_b,p.nc_20r.u_b,p.nc_15r.u_b,p.nc_10r.u_b,p.nc_05r.u_b,35p.u_r.nc_b,30p.u_r.nc_b,25p.u_r.nc_b,20p.u_r.nc_b,15p.u_r.nc_b,10p.u_r.nc_b,05p.u_r.nc_b,reg_dem,who_vote,who_vote_other,fav_biden,fav_bernie,fav_warren,fav_bloomberg,fav_gabbard,fav_klobuchar,fav_buttigieg,Q53,stim_divide_ppl,stim_divide_corp,school_close,UBI,consid_econ,medicare,stud_debt,trump_overall,trump_covid,emp1,emp2,poor_anger,poor_disgust,poor_comp,poor_envy,rich_anger,rich_disgust,rich_comp,rich_envy,open_why_vote,Q256,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,attn,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,gender,age,ethnicity,income,ideology,soc_iss,econ_iss,partyid,partyid_force,strong_dem,strong_rep,Q63,Q65,ses_ladder
R_6Pv97KjoGip3Ush,Default Response Set,Anonymous,,,70.94.39.183,0,2020-03-26 15:29,2020-03-26 15:39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2,,1,7,7,1,1,1,1,1,95,5,2,2,1,2,2,23,22,5,5,50,50,54,50,22,22,18,20,"Well some of the policies were pretty stupid unless the country just had a random surplus for everyone. But the rich do not need to be any richer. So that was the major thing for me, and also helping poor people.",1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,2,29,1,2,1,1,1,1,,49,,1,1,7
R_1mKkpRTiIiH9tUj,Default Response Set,Anonymous,,,73.142.142.53,0,2020-03-26 15:26,2020-03-26 15:39,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,,6,7,3,4,4,4,3,1,60,40,4,2,1,2,2,23,22,4,4,50,50,53,50,19,20,18,20,I was looking at whether the policy increased the wealth of the poor while also lowering the wealth of the rich.,1,1,1,1,1,6,6,2,6,6,2,2,2,2,6,6,6,6,1,25,1,4,1,1,1,1,,48,,1,1,7
R_31FvOBK9gqu4CuF,Default Response Set,Anonymous,,,47.32.57.235,0,2020-03-26 15:28,2020-03-26 15:39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,3,7,6,3,2,4,4,1,80,20,2,2,1,2,2,23,22,3,3,50,50,54,50,19,20,19,18,If the policy benefited the poor then I was for it.,1,2,2,3,2,7,6,2,1,6,1,1,2,2,7,7,7,6,1,27,4,1,2,2,2,1,,48,,1,1,9
R_8oAI2QPwN1RhuW5,Default Response Set,Anonymous,,,66.66.148.164,0,2020-03-26 15:26,2020-03-26 15:39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,4,6,3,1,1,1,3,1,30,70,2,2,1,2,1,26,24,4,2,50,50,53,50,18,18,19,18,I was just thinking about what is closest to being a fair policy. I voted yes if I thought it was reasonably fair.,1,1,1,1,1,5,7,2,7,6,3,1,3,3,7,7,7,5,1,36,2,2,3,2,5,1,,43,,1,1,9
R_3O1YKkMwMLuenRy,Default Response Set,Anonymous,,,89.187.177.121,0,2020-03-26 15:25,2020-03-26 15:40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,16,5,3,5,6,4,5,5,1,60,40,2,2,1,2,2,27,26,4,4,51,51,53,51,19,20,19,19,the most quantity of people that would earn something,1,4,3,3,2,2,6,2,6,5,2,2,2,6,6,6,6,6,2,25,1,6,4,4,4,1,,47,,1,1,4
R_1NxNNyPn5AczfqX,Default Response Set,Anonymous,,,96.45.31.224,0,2020-03-26 15:27,2020-03-26 15:40,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,1,7,5,2,4,3,6,1,80,20,4,2,1,2,2,23,22,4,4,50,50,53,50,18,21,19,18,I was going for wealth redistribution because anything less leads right back to the same issue.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,2,62,1,1,2,2,3,2,1,46,,1,1,7
R_3m4wECOU8ggy81Y,Default Response Set,Anonymous,,,68.173.37.204,0,2020-03-26 15:26,2020-03-26 15:41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,7,1,1,6,3,4,7,1,50,50,2,2,1,1,2,23,22,5,4,50,50,54,50,18,18,18,21,what was fair and best,1,1,1,2,3,6,6,2,6,6,2,2,2,3,4,6,5,5,2,29,1,15,2,2,5,1,,45,,1,1,3
R_9zaK3kX8otJXgo9,Default Response Set,Anonymous,,,76.214.125.183,0,2020-03-26 15:25,2020-03-26 15:41,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,3,3,6,6,1,4,5,1,80,20,2,1,1,2,2,23,22,5,4,50,50,53,50,19,18,21,20,"I wanted to see a increase in the wealth of the poor firstmost, but I also did not want to see a huge decrease (excessive of 25% from the rich). I also did not want to vote for any policy that increased the wealth of the rich by unaffecting or decreasing the wealth of the poor. I did have some questions about whether increasing the wealth of the poor would lead to an inflated society, in which no matter how much we increase their wealth, they would still be poor. I dont know enough about economics to address this issue in my answers.",1,4,5,6,2,7,6,2,5,5,1,1,1,1,7,7,7,7,2,23,2,7,2,2,2,1,,46,,1,1,7
R_3ELsxJKAkwxBBsJ,Default Response Set,Anonymous,,,45.4.197.246,0,2020-03-26 15:31,2020-03-26 15:41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,4,4,3,6,4,4,5,1,50,50,2,2,1,1,2,28,27,3,4,53,53,53,53,20,21,21,21,no,1,5,6,5,6,5,5,2,4,5,5,4,6,5,6,5,6,5,1,28,1,5,1,4,2,1,,48,,1,1,1
R_7aqTt32ODKFmjSN,Default Response Set,Anonymous,,,98.5.41.247,0,2020-03-26 15:26,2020-03-26 15:41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,,5,2,4,1,1,1,1,1,90,10,2,1,1,2,2,23,22,5,5,50,50,53,50,19,20,18,20,I was thinking about how much money the rich have amassed and how little the poor have!,1,3,4,5,5,2,4,2,5,4,4,3,3,4,6,5,6,5,1,48,1,4,4,4,3,1,,48,,1,1,6
R_1DYzpvgUfs4IGUW,Default Response Set,Anonymous,,,73.126.19.239,0,2020-03-26 15:26,2020-03-26 15:41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,2,8,,3,4,3,4,4,3,3,1,67,33,2,1,2,1,1,27,26,2,2,50,50,51,50,19,18,18,19,I was mostly thinking about how the economy as a whole would be affected.,1,2,3,3,3,5,5,2,5,5,4,5,4,5,5,5,2,5,1,30,1,4,5,5,5,3,,,3,1,1,6
R_1QuxWCJM9R6DN6T,Default Response Set,Anonymous,,,174.246.194.47,0,2020-03-26 15:25,2020-03-26 15:42,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,2,1,,4,1,1,2,1,1,2,1,40,60,2,1,2,2,1,27,23,5,2,50,51,52,50,18,18,18,19,"Whether both groups were being impacted equally. I tried not to disadvantage either group, but I did not try to explicitly give the poor a relatively greater impact. ",1,4,5,5,1,6,3,2,5,2,2,1,5,4,7,4,5,4,1,21,1,15,6,6,6,3,,,5,1,1,3
